Title,Year,Genre,Director,Duration,IMDB,ID
Changing Lanes,2002,Drama|Thriller,Roger Michell,98,6.4,206
Charlies Änglar,2000,Action|Adventure|Comedy,McG,98,5.5,207
Chaser,2008,Action|Crime|Thriller,Hong-Jin Na,125,7.9,208
Che – The Argentine Part 1,2008,Biography|Drama|History,Steven Soderbergh,134,7.2,209
Che – Guerrilla Part 2,2008,Biography|Drama|History,Steven Soderbergh,135,6.9,210
Child 44,2015,Crime|Drama|History,Daniel Espinosa,137,6.5,211
Chok,1965,Drama|Horror|Thriller,Roman Polanski,105,7.7,212
Choose,2011,Crime|Drama|Horror,Marcus Graves,83,4.7,213
Cider House Rules,1999,Drama|Romance,Lasse Hallström,126,7.4,214
Cinderella Man,2005,Biography|Drama|History,Ron Howard,144,8.0,215
City Of Ghosts,2002,Crime|Drama|Thriller,Matt Dillon,116,6.0,216
City Of God,2002,Crime|Drama,Fernando Meirelles,130,8.6,217
Click,2006,Comedy|Drama|Fantasy,Frank Coraci,107,6.4,218
Close Range,2015,Action|Crime|Thriller,Isaac Florentine,80,5.0,219
Cloud Atlas,2012,Action|Drama|Mystery,Tom Tykwer,172,7.4,220
Cocktail,1988,Comedy|Drama|Romance,Roger Donaldson,104,5.9,221
Collector,2009,Action|Crime|Horror,Marcus Dunstan,90,6.4,222
Columbus Circle,2012,Crime|Drama|Mystery,George Gallo,82,6.0,223
Constant Gardener,2005,Drama|Mystery|Romance,Fernando Meirelles,129,7.4,224
Contender,2000,Drama|Thriller,Rod Lurie,126,6.9,225
Contraband,2012,Action|Crime|Drama,Baltasar Kormakur,109,6.5,226
Cornelis,2010,Biography|Drama|Music,Amir Chamdin,101,6.3,227
Coyote Ugly,2000,Comedy|Drama|Music,David McNally,100,5.7,228
Crank I,2006,Action|Crime|Thriller,Mark Neveldine,88,6.9,229
Crank II,2009,Action|Thriller,Mark Neveldine,96,6.2,230
Crazy Stupid Love,2011,Comedy|Drama|Romance,Glenn Ficarra,118,7.4,231
Creep,2004,Horror|Mystery|Thriller,Christopher Smith,85,5.6,232
Crouching Tiger Hidden Dragon,2000,Action|Adventure|Fantasy,Ang Lee,120,7.8,233
Crow,1994,Action|Drama|Fantasy,Alex Proyas,102,7.6,234
Curse Of The Golden Flower,2006,Action|Adventure|Drama,Yimou Zhang,111,7.0,235
